order_id,return_date,tracking_id,platformID,sku,return_reason,return_sub_reason,return_delivery_date,platform,reason_category
RT103462643,2023-03-17,8905470000000.0,462591000000.0,LWOB2021004,Did not like the product,Not happy with product quality,0,AJ,Customer remorse
RT103439924,2023-03-17,8905370000000.0,462504000000.0,LWBP20213009,Defective/Damage Product received,Product torn worn out,0,AJ,Product Quality
RT103450652,2023-03-17,8905370000000.0,462340000000.0,LWDB16174097,Did not like the product,Not happy with product quality,0,AJ,Customer remorse
RT103463314,2023-03-17,8905370000000.0,462450000000.0,LWTP202101,Size/Colour Issue,Does not fit well,0,AJ,Color Issues
RT103435874,2023-03-17,8905370000000.0,462291000000.0,LWSB20213019,Did not like the product,Not happy with product quality,0,AJ,Customer remorse
RT103458006,2023-03-17,8905740000000.0,465631000000.0,LWHK2207,Size/Colour Issue,Want to change style color,0,AJ,Color Issues
RT103428625,2023-03-17,8905370000000.0,462314000000.0,LWOB16171149,Size/Colour Issue,Size is larger than expected,0,AJ,Color Issues
RT103439266,2023-03-17,8905370000000.0,462314000000.0,LWOB16171149,Defective/Damage Product received,Received damaged,0,AJ,Product Quality
RT103415637,2023-03-17,8905370000000.0,462508000000.0,LWBP20213017,Wrong Item Shipped,Different product delivered,0,AJ,Wrong item delivered
RT103404835,2023-03-17,8905370000000.0,462423000000.0,LWOB19201083,Did not like the product,Does not look good on me,0,AJ,Customer remorse
RT103383896,2023-03-17,8905370000000.0,462364000000.0,LWDB19204061,Did not like the product,Does not look good on me,0,AJ,Customer remorse
RT103370286,2023-03-16,8905470000000.0,462588000000.0,FLYOB202102,Wrong Item Shipped,Different product delivered,0,AJ,Wrong item delivered
RT103359403,2023-03-16,8905370000000.0,462314000000.0,LWOB16171149,Did not like the product,Did not like color,0,AJ,Customer remorse
RT103320918,2023-03-16,8905370000000.0,462501000000.0,FLYSB202106,Did not like the product,Does not look good on me,0,AJ,Customer remorse
RT103305871,2023-03-16,8905370000000.0,462501000000.0,FLYSB202106,Did not like the product,Not happy with product quality,0,AJ,Customer remorse
RT103324200,2023-03-16,8905470000000.0,462588000000.0,FLYOB202102,Wrong Item Shipped,Product not as displayed on website,0,AJ,Wrong item delivered
RT103211126,2023-03-16,8905370000000.0,462314000000.0,LWOB16171149,Defective/Damage Product received,Product torn worn out,0,AJ,Product Quality
RT103175171,2023-03-16,8905370000000.0,462419000000.0,LWHK2020104,Did not like the product,Did not like color,0,AJ,Customer remorse
RT103142642,2023-03-15,8905370000000.0,462314000000.0,LWOB16171149,Did not like the product,Does not look good on me,0,AJ,Customer remorse
RT103113609,2023-03-15,8905740000000.0,465631000000.0,LWHK2207,Did not like the product,Does not look good on me,0,AJ,Customer remorse
RT103039898,2023-03-15,8905370000000.0,462423000000.0,LWOB19201083,Did not like the product,Does not look good on me,0,AJ,Customer remorse
RT102994235,2023-03-15,8905370000000.0,462507000000.0,FLYSB202104,Size/Colour Issue,Size is smaller than expected,0,AJ,Color Issues
RT102969113,2023-03-14,8905370000000.0,462314000000.0,LWOB16171123,Defective/Damage Product received,Received defective merchandise,0,AJ,Product Quality
RT102304581,2023-03-14,8905370000000.0,462462000000.0,LWWC16176113,Others,Wrong color delivered,0,AJ,Other reasons
RT102904444,2023-03-14,8905740000000.0,465631000000.0,LWHK2207,Wrong Item Shipped,Wrong color delivered,0,AJ,Wrong item delivered
RT102815578,2023-03-14,8905370000000.0,462278000000.0,LWSB20213016,Did not like the product,Not happy with product quality,0,AJ,Customer remorse
RT102805303,2023-03-14,8905740000000.0,465631000000.0,LWHK2207,Did not like the product,Not happy with product quality,0,AJ,Customer remorse
RT102782827,2023-03-14,8905370000000.0,462278000000.0,LWSB20213016,Did not like the product,Not happy with product quality,0,AJ,Customer remorse
RT102786674,2023-03-14,8905370000000.0,462278000000.0,LWSB20213016,Did not like the product,Not happy with product quality,0,AJ,Customer remorse
RT102812028,2023-03-14,8905370000000.0,462278000000.0,LWSB20213016,Did not like the product,Not happy with product quality,0,AJ,Customer remorse
RT102793457,2023-03-14,8905370000000.0,462418000000.0,LWOB19201079,Did not like the product,Not happy with product quality,0,AJ,Customer remorse
RT102768868,2023-03-14,8905740000000.0,465631000000.0,LWHK2207,Size/Colour Issue,Want to change style color,0,AJ,Color Issues
RT102748869,2023-03-14,8905740000000.0,465631000000.0,LWHK2207,Did not like the product,Not happy with product quality,0,AJ,Customer remorse
RT102749630,2023-03-14,8905370000000.0,462520000000.0,LWBP20213016,Did not like the product,Not happy with product quality,0,AJ,Customer remorse
RT102733930,2023-03-13,8905370000000.0,462314000000.0,LWOB16171149,Did not like the product,Not happy with product quality,0,AJ,Customer remorse
RT102753200,2023-03-13,8905370000000.0,462314000000.0,LWOB16171149,Defective/Damage Product received,Product torn worn out,0,AJ,Product Quality
RT102751139,2023-03-13,8905370000000.0,462400000000.0,FLYBP202102,Size/Colour Issue,Does not fit well,0,AJ,Color Issues
RT102714462,2023-03-13,8905740000000.0,465631000000.0,LWHK2207,Defective/Damage Product received,Received defective merchandise,0,AJ,Product Quality
RT102719042,2023-03-13,8905470000000.0,462591000000.0,LWOB2021004,Defective/Damage Product received,Received defective merchandise,0,AJ,Product Quality
RT102213988,2023-03-13,8905370000000.0,462317000000.0,LWDB16174098,Others,Different product delivered,0,AJ,Other reasons
RT102574685,2023-03-13,8905370000000.0,462314000000.0,LWOB16171149,Did not like the product,Did not like color,0,AJ,Customer remorse
RT102551843,2023-03-13,8905370000000.0,462314000000.0,LWOB16171149,Did not like the product,Not happy with product quality,0,AJ,Customer remorse
RT102569254,2023-03-13,8905370000000.0,462450000000.0,LWTP202101,Did not like the product,Not happy with product quality,0,AJ,Customer remorse
RT102557374,2023-03-13,8905370000000.0,462314000000.0,LWOB16171149,Did not like the product,Did not like color,0,AJ,Customer remorse
RT102534127,2023-03-12,8905470000000.0,462591000000.0,LWOB2021004,Did not like the product,Not happy with product quality,0,AJ,Customer remorse
RT102513525,2023-03-12,8905370000000.0,462211000000.0,LWSB20213025,Did not like the product,Did not like the product,0,AJ,Customer remorse
RT102500115,2023-03-12,8905370000000.0,462314000000.0,LWOB16171149,Defective/Damage Product received,Received defective merchandise,0,AJ,Product Quality
