Return Order No,Cust Return Created Date,JioCode,SELLER_SKU,EAN,Category,Brand,Return QTY,Return Value,Return Reason,Return Sub reason,Return type,Listing Name,Image URL
RT100385602,Thu Feb 23 19:30:21 IST 2023,4.62582E+11,FLYOB202109,8.90547E+12,Men-Laptop Bags,FLY FASHION,1,630,Wrong Item Shipped ,Different product delivered,RVP,Laptop Messenger Bag with Detachable Strap,https://assets.ajio.com/medias/sys_master/root/20220530/O5E0/6294ace6f997dd03e245bf27/-462581881-blue-MODEL.jpg
RT100396352,Thu Feb 23 18:07:45 IST 2023,4.62418E+11,LWOB19201084,8.90537E+12,Men-Laptop Bags,LEATHER WORLD,1,882,Wrong Item Shipped ,Different product delivered,RVP,Laptop Bag with Detachable Strap,https://assets.ajio.com/medias/sys_master/root/20220530/3MUr/6294acbaf997dd03e245bb5b/-462418267-multi-MODEL.jpg
RT100382424,Thu Feb 23 17:39:03 IST 2023,4.62317E+11,LWDB16174098,8.90537E+12,Men-Travel Bags,LEATHER WORLD,1,366,Others,Others,RVP,Textured Overnighter with Adjustable Strap,https://assets.ajio.com/medias/sys_master/root/20220530/6Zq7/6294ac13aeb26921aff33389/-462316625-brown-MODEL.jpg
RT100361875,Thu Feb 23 15:36:19 IST 2023,4.62504E+11,LWBP20213018,8.90537E+12,Men-Backpacks,FLY FASHION,1,1050,Did not like the product,Did not like color,RVP,Laptop Back Pack with Brand Logo ,https://assets.ajio.com/medias/sys_master/root/20220530/P0Vg/6294ac82f997dd03e245b429/-462504150-blue-MODEL.jpg
RT100359520,Thu Feb 23 12:43:55 IST 2023,4.62389E+11,LWBP19203082,8.90537E+12,Men-Backpacks,LEATHER WORLD,1,733,Wrong Item Shipped ,Different product delivered,RVP,Textured Back Pack Adjustable Strap,https://assets.ajio.com/medias/sys_master/root/20220530/n0fv/6294ac2daeb26921aff33741/-462389013-black-MODEL.jpg
RT100365195,Thu Feb 23 11:26:00 IST 2023,4.62507E+11,FLYSB202104,8.90537E+12,Men-Fashion Bags,FLY FASHION,1,412,Size/Colour Issue,Size is larger than expected,RVP,Sling Bag with Adjustable Shoulder Strap,https://assets.ajio.com/medias/sys_master/root/20220530/jqtq/6294acecf997dd03e245bfd8/-462507030-grey-MODEL.jpg
RT100294901,Wed Feb 22 22:48:02 IST 2023,4.62314E+11,LWOB16171124,8.90537E+12,Men-Laptop Bags,LEATHER WORLD,1,878,Did not like the product,Does not look good on me,RVP,Textured Laptop Bag with Detachable Strap,https://assets.ajio.com/medias/sys_master/root/20220530/7GGs/6294ac0ff997dd03e245a445/-462314114-brown-MODEL.jpg
RT100345025,Wed Feb 22 22:04:25 IST 2023,4.62317E+11,LWDB16174098,8.90537E+12,Men-Travel Bags,LEATHER WORLD,1,366,Did not like the product,Does not look good on me,RVP,Textured Overnighter with Adjustable Strap,https://assets.ajio.com/medias/sys_master/root/20220530/6Zq7/6294ac13aeb26921aff33389/-462316625-brown-MODEL.jpg
RT100274634,Wed Feb 22 16:54:17 IST 2023,4.6252E+11,LWBP20213016,8.90537E+12,Men-Fashion Bags,FLY FASHION,1,475,Wrong Item Shipped ,Wrong color delivered,RVP,Classic Sling Bag with Zip Closure,https://assets.ajio.com/medias/sys_master/root/20220530/HXVI/6294ac88f997dd03e245b4d7/-462519756-black-MODEL.jpg
RT100280309,Wed Feb 22 15:31:12 IST 2023,4.62418E+11,LWOB19201084,8.90537E+12,Men-Laptop Bags,LEATHER WORLD,1,882,Defective/Damage Product received,Received damaged,RVP,Laptop Bag with Detachable Strap,https://assets.ajio.com/medias/sys_master/root/20220530/3MUr/6294acbaf997dd03e245bb5b/-462418267-multi-MODEL.jpg
RT100232912,Wed Feb 22 10:44:25 IST 2023,4.62451E+11,LWTP202102,8.90537E+12,Men-Utility Bags,LEATHER WORLD,1,366,Did not like the product,Not happy with product quality,RVP,Textured Toiletry Pouch,https://assets.ajio.com/medias/sys_master/root/20220530/xB7x/6294ac5cf997dd03e245af9a/-462451177-brown-MODEL.jpg
RT100252284,Wed Feb 22 10:21:09 IST 2023,4.62492E+11,FLYDB20214003,8.90537E+12,Men-Travel Bags,FLY FASHION,1,672,Did not like the product,Does not look good on me,RVP,Textured Duffle Bag with Trolley Sleeve,https://assets.ajio.com/medias/sys_master/root/20220530/hBLz/6294ac9faeb26921aff34628/-462491782-grey-MODEL.jpg
RT100167697,Tue Feb 21 18:47:54 IST 2023,4.624E+11,LWHK2020105,8.90537E+12,Men-Backpacks,LEATHER WORLD,1,630,Size/Colour Issue,Want to change style color,RVP,Typography Print Back Pack,https://assets.ajio.com/medias/sys_master/root/20220530/OUYB/6294ac0ff997dd03e245a449/-462400209-blue-MODEL.jpg
RT100162762,Tue Feb 21 17:40:46 IST 2023,4.62364E+11,LWDB16174099,8.90537E+12,Men-Travel Bags,LEATHER WORLD,1,366,Others,Others,RVP,Textured Overnighter Bag,https://assets.ajio.com/medias/sys_master/root/20220530/0DHa/6294ac3aaeb26921aff3391d/-462364178-brown-MODEL.jpg
RT100074306,Tue Feb 21 16:48:20 IST 2023,4.62389E+11,LWBP19203067,8.90537E+12,Men-Backpacks,LEATHER WORLD,1,702,Others,Others,Self Ship Without Shipping Charge,Textured Everyday Back Pack with Adjustable Strap,https://assets.ajio.com/medias/sys_master/root/20220530/U1Qt/6294ac62f997dd03e245b05f/-462389205-brown-MODEL.jpg
RT100133834,Tue Feb 21 12:40:04 IST 2023,4.62418E+11,LWOB19201081,8.90537E+12,Men-Laptop Bags,LEATHER WORLD,1,882,Wrong Item Shipped ,Product not as displayed on website,RVP,Laptop Bag with Detachable Strap,https://assets.ajio.com/medias/sys_master/root/20220530/FFSX/6294ace6f997dd03e245bf1f/-462418275-green-MODEL.jpg
RT100046882,Tue Feb 21 12:25:17 IST 2023,4.6247E+11,LWWC16176107,8.90537E+12,Home & Kitchen-Stationery & Organisers,LEATHER WORLD,1,721,Others,Others,Self Ship Without Shipping Charge, Watch Organiser Box,https://assets.ajio.com/medias/sys_master/root/20220530/I55l/6294acfef997dd03e245c213/-462469791-brown-MODEL.jpg
RT100121957,Tue Feb 21 12:06:42 IST 2023,4.62389E+11,LWBP19203084,8.90537E+12,Men-Backpacks,LEATHER WORLD,1,733,Defective/Damage Product received,Received defective merchandise,RVP,Textured Back Pack with Adjustable Strap,https://assets.ajio.com/medias/sys_master/root/20220530/dmRi/6294ac49f997dd03e245acd4/-462389200-multi-MODEL.jpg
RT99759288,Tue Feb 21 12:04:49 IST 2023,4.6247E+11,LWWC16176107,8.90537E+12,Home & Kitchen-Stationery & Organisers,LEATHER WORLD,1,721,Others,Different product delivered,RVP, Watch Organiser Box,https://assets.ajio.com/medias/sys_master/root/20220530/I55l/6294acfef997dd03e245c213/-462469791-brown-MODEL.jpg
RT100128795,Tue Feb 21 11:48:13 IST 2023,4.62389E+11,LWBP19203084,8.90537E+12,Men-Backpacks,LEATHER WORLD,1,733,Wrong Item Shipped,Different product delivered,RVP,Textured Back Pack with Adjustable Strap,https://assets.ajio.com/medias/sys_master/root/20220530/dmRi/6294ac49f997dd03e245acd4/-462389200-multi-MODEL.jpg
RT100127652,Tue Feb 21 10:12:00 IST 2023,4.62582E+11,FLYOB202109,8.90547E+12,Men-Laptop Bags,FLY FASHION,1,630,Wrong Item Shipped ,Different product delivered,RVP,Laptop Messenger Bag with Detachable Strap,https://assets.ajio.com/medias/sys_master/root/20220530/O5E0/6294ace6f997dd03e245bf27/-462581881-blue-MODEL.jpg
RT100140069,Tue Feb 21 08:22:40 IST 2023,4.62419E+11,LWHK2020103,8.90537E+12,Men-Backpacks,LEATHER WORLD,1,668,Others,Found better price elsewhere,RVP,Back Pack with Zip-Closure ,https://assets.ajio.com/medias/sys_master/root/20220530/NMi9/6294ac42f997dd03e245abe2/-462418629-grey-MODEL.jpg
RT100133121,Tue Feb 21 01:50:06 IST 2023,4.62364E+11,LWDB19204063,8.90537E+12,Men-Travel Bags,LEATHER WORLD,1,847,Size/Colour Issue,Want to change style color,RVP,Textured Duffle Bag,https://assets.ajio.com/medias/sys_master/root/20220530/5xKo/6294ac4ff997dd03e245adc3/-462364041-black-MODEL.jpg
RT100081788,Mon Feb 20 21:36:05 IST 2023,4.62364E+11,LWDB19204063,8.90537E+12,Men-Travel Bags,LEATHER WORLD,1,847,Did not like the product,Not happy with product quality,RVP,Textured Duffle Bag,https://assets.ajio.com/medias/sys_master/root/20220530/5xKo/6294ac4ff997dd03e245adc3/-462364041-black-MODEL.jpg
RT100014953,Mon Feb 20 16:49:31 IST 2023,4.62389E+11,LWBP19203084,8.90537E+12,Men-Backpacks,LEATHER WORLD,1,733,Size/Colour Issue,Size is smaller than expected,RVP,Textured Back Pack with Adjustable Strap,https://assets.ajio.com/medias/sys_master/root/20220530/dmRi/6294ac49f997dd03e245acd4/-462389200-multi-MODEL.jpg
RT100076054,Mon Feb 20 16:07:07 IST 2023,4.62314E+11,LWOB16171123,8.90537E+12,Men-Laptop Bags,LEATHER WORLD,1,1184,Size/Colour Issue,Size is smaller than expected,RVP,Textured Laptop Bag with Detachable Strap,https://assets.ajio.com/medias/sys_master/root/20220530/307S/6294ac1aaeb26921aff33476/-462314261-black-MODEL.jpg
RT99998509,Mon Feb 20 11:54:11 IST 2023,4.62504E+11,LWBP20213018,8.90537E+12,Men-Backpacks,FLY FASHION,1,1008,Did not like the product,Did not like color,RVP,Laptop Back Pack with Brand Logo ,https://assets.ajio.com/medias/sys_master/root/20220530/P0Vg/6294ac82f997dd03e245b429/-462504150-blue-MODEL.jpg
RT99984636,Mon Feb 20 09:43:23 IST 2023,4.62418E+11,LWOB19201072,8.90537E+12,Men-Laptop Bags,LEATHER WORLD,1,710,Did not like the product,Not happy with product quality,RVP,Laptop Bag with Detachable Strap,https://assets.ajio.com/medias/sys_master/root/20220530/R4lD/6294ac3cf997dd03e245aafa/-462418315-brown-MODEL.jpg
RT99976611,Mon Feb 20 00:03:08 IST 2023,4.62317E+11,LWDB16174098,8.90537E+12,Men-Travel Bags,LEATHER WORLD,1,366,Defective/Damage Product received,Received defective merchandise,RVP,Textured Overnighter with Adjustable Strap,https://assets.ajio.com/medias/sys_master/root/20220530/6Zq7/6294ac13aeb26921aff33389/-462316625-brown-MODEL.jpg
RT99983164,Sun Feb 19 22:07:02 IST 2023,4.62314E+11,LWOB16171124,8.90537E+12,Men-Laptop Bags,LEATHER WORLD,1,878,Others,Product not required anymore,RVP,Textured Laptop Bag with Detachable Strap,https://assets.ajio.com/medias/sys_master/root/20220530/7GGs/6294ac0ff997dd03e245a445/-462314114-brown-MODEL.jpg
RT99984143,Sun Feb 19 21:52:12 IST 2023,4.6233E+11,LWDB16174014,8.90537E+12,Men-Travel Bags,LEATHER WORLD,1,733,Size/Colour Issue,Size is larger than expected,RVP,Colourblock Travel Bag,https://assets.ajio.com/medias/sys_master/root/20220530/nSlc/6294aca8f997dd03e245b907/-462329704-blue-MODEL.jpg
RT99969435,Sun Feb 19 20:44:00 IST 2023,4.62418E+11,LWOB19201072,8.90537E+12,Men-Laptop Bags,LEATHER WORLD,1,710,Wrong Item Shipped,Product not as displayed on website,RVP,Laptop Bag with Detachable Strap,https://assets.ajio.com/medias/sys_master/root/20220530/R4lD/6294ac3cf997dd03e245aafa/-462418315-brown-MODEL.jpg
RT99975200,Sun Feb 19 20:00:42 IST 2023,4.62317E+11,LWDB16174098,8.90537E+12,Men-Travel Bags,LEATHER WORLD,1,366,Did not like the product,Did not like the product,RVP,Textured Overnighter with Adjustable Strap,https://assets.ajio.com/medias/sys_master/root/20220530/6Zq7/6294ac13aeb26921aff33389/-462316625-brown-MODEL.jpg
RT99958620,Sun Feb 19 19:46:21 IST 2023,4.62418E+11,LWOB19201072,8.90537E+12,Men-Laptop Bags,LEATHER WORLD,1,710,Wrong Item Shipped ,Wrong color delivered,RVP,Laptop Bag with Detachable Strap,https://assets.ajio.com/medias/sys_master/root/20220530/R4lD/6294ac3cf997dd03e245aafa/-462418315-brown-MODEL.jpg
RT99943853,Sun Feb 19 18:18:45 IST 2023,4.62389E+11,LWBP19203067,8.90537E+12,Men-Backpacks,LEATHER WORLD,1,702,Defective/Damage Product received,Received defective merchandise,RVP,Textured Everyday Back Pack with Adjustable Strap,https://assets.ajio.com/medias/sys_master/root/20220530/U1Qt/6294ac62f997dd03e245b05f/-462389205-brown-MODEL.jpg
RT99951315,Sun Feb 19 15:36:45 IST 2023,4.62504E+11,LWBP20213036,8.90537E+12,Men-Backpacks,FLY FASHION,1,649,Did not like the product,Not happy with product quality,RVP,Laptop Back Pack with Brand Logo ,https://assets.ajio.com/medias/sys_master/root/20220530/iOfZ/6294acecf997dd03e245bfdd/-462504168-brown-MODEL.jpg
RT99348897,Sun Feb 19 14:55:07 IST 2023,4.63085E+11,LWDB214103,8.90547E+12,Men-Sports & Utility Bag,LEATHER WORLD,1,687,Others,Wrong color delivered,RVP,Colourblock Duffel Bag with Detachable Strap,https://assets.ajio.com/medias/sys_master/root/20220530/ba2q/6294acd9f997dd03e245bda1/-463084566-green-MODEL.jpg
RT99923776,Sun Feb 19 13:51:40 IST 2023,4.62389E+11,LWBP19203082,8.90537E+12,Men-Backpacks,LEATHER WORLD,1,733,Wrong Item Shipped ,Different product delivered,RVP,Textured Back Pack Adjustable Strap,https://assets.ajio.com/medias/sys_master/root/20220530/n0fv/6294ac2daeb26921aff33741/-462389013-black-MODEL.jpg
