Order ID,Order date,Return request date,Return request status,Amazon RMA ID,Seller RMA ID,Label type,Label cost,Currency code,Return carrier,Tracking ID,Label to be paid by,A-to-z claim,Is prime,ASIN, Merchant SKU,Item Name,Return quantity,Return reason,In policy,Return type,Resolution,Invoice number,Return delivery date,Order Amount,Order quantity,SafeT Action reason,SafeT claim ID,SafeT claim state,SafeT claim creation time,SafeT claim reimbursement amount,Refunded Amount,Category
403-5163854-7602716,12-Jan-23,18-Jan-23,Approved, , ,AmazonPrePaidLabel,0, ,ATS,3.21909E+11,Not Computed,N,Y,B07SDQSQNX,PRIME-LWDB19204014,Leather World nylon 22 Cms Duffle Bag(LWDB19204014_Blue),1,UND-UNKNOWN,Y,Rejected,StandardRefund,IN-12724,23-Jan-23, , , , , , , , ,gl_luggage
171-3759603-8501131,08-Jan-23,18-Jan-23,Approved,DwcYyXpjRRMA, ,AmazonPrePaidLabel,506,INR,ATS,5.13561E+11,Seller,N,Y,B07SDQSQNX,PRIME-LWDB19204014,Leather World nylon 22 Cms Duffle Bag(LWDB19204014_Blue),1,CR-QUALITY_UNACCEPTABLE,Y,C-Returns,StandardRefund,IN-12497,23-Jan-23,898,1, , , , , ,898,gl_luggage
171-6841418-3695500,14-Jan-23,18-Jan-23,Approved,DNcSyVpsRRMA, ,AmazonPrePaidLabel,92,INR,ATS,5.13561E+11,Seller,N,Y,B08NXL9F1P,PRIME-LWBP20213012,Fly Fashion Polyester Travel Cross Body Backpack Shoulder Chest Bag Lightweight Men and Women,1,CR-QUALITY_UNACCEPTABLE,Y,C-Returns,StandardRefund,IN-12812,23-Jan-23,584,1, , , , , ,584,gl_luggage
407-5428864-4877950,10-Jan-23,19-Jan-23,Approved,Dy2ByXp6RRMA, ,AmazonPrePaidLabel,345,INR,ATS,5.13563E+11,Seller,N,Y,B084MK46HJ,PRIME-LWWC16176140,Leather World 6 Slot Vegan Leather Men Watch Box Display Case Organizer Glass Women Jewelry Storage Black,1,CR-NOT_COMPATIBLE,Y,C-Returns,StandardRefund,IN-12590,24-Jan-23,1170,2, , , , , ,585,gl_watch
404-4716779-2613144,14-Jan-23,19-Jan-23,Approved,Dy2PyGpcRRMA, ,AmazonPrePaidLabel,0, ,ATS,5.13563E+11,Seller,N,Y,B07BGVJYMG,PRIME-LWWC16176105,Leather World 8 Slots PU Leather Men Watch Box Acrylic Display Glass Organizer Case Women Storage Jewellery - Black,1,CR-DEFECTIVE,Y,C-Returns,Replacement, ,31-Jan-23,699,1, , , , , , ,gl_watch
408-5656658-3158705,14-Jan-23,19-Jan-23,Approved,D32FydpHRRMA, ,AmazonPrePaidLabel,172.5,INR,ATS,5.13563E+11,Seller,N,Y,B07PFV29ZM,PRIME-LWWC16176104B,Leather World 8 Slots PU Leather Men Watch Box Acrylic Display Glass Organizer Case Women Storage Jewelry - Blue,1,CR-ORDERED_WRONG_ITEM,Y,C-Returns,StandardRefund,IN-12860,25-Jan-23,699,1, , , , , ,699,gl_home
404-8360577-9985958,15-Jan-23,19-Jan-23,Approved,DyVMyDpgRRMA, ,AmazonPrePaidLabel,172.5,INR,ATS,5.13563E+11,Seller,N,Y,B0779969J9,PRIME-LWWC16176135,Leather World 8 Slots PU Leather Men Watch Box Acrylic Display Glass Organizer Case Women Storage Jewellery - Tan,1,CR-QUALITY_UNACCEPTABLE,Y,Amazon CS,StandardRefund, ,28-Jan-23,633,1, , , , , ,683,gl_watch
406-3205192-5624316,15-Jan-23,19-Jan-23,Approved,DdVryXpXRRMA, ,AmazonPrePaidLabel,345,INR,ATS,5.13563E+11,Seller,N,Y,B07SNP6SZD,PRIME-LWBP19203084,Leather World Vegan Leather Brown14 inch Laptop College Casual Backpack for Women Travel Bag,1,AMZ-PG-BAD-DESC,Y,C-Returns,StandardRefund,IN-12898,24-Jan-23,999,1, , , , , ,999,gl_luggage
405-3429439-7544318,28-Dec-22,19-Jan-23,Approved,DyVby0ptRRMA, ,AmazonPrePaidLabel,0, ,ATS,5.13563E+11,Seller,N,Y,B0837TDP66,PRIME-LWHK2020102,Leather World Water-Resistant Polyester Convertible Duffel Bag & Rucksack for Men and Women Trekking Bag with Laptop Compartment Black,1,CR-DEFECTIVE,Y,C-Returns,Replacement, ,28-Jan-23,806,1, , , , , ,806,gl_luggage
406-0671815-8477132,11-Jan-23,19-Jan-23,Approved,DSVCyYp2RRMA, ,AmazonPrePaidLabel,207,INR,ATS,5.13563E+11,Seller,N,Y,B084C52Z6M,PRIME-LWOB19201079,Leather World Vegan Leather Laptop Bag Premium 15.6 inch Laptop Briefcase Expandable Water-Resistant Shoulder Messenger Bag Computer Bag for Travel Business School Men and Women Brown,1,CR-QUALITY_UNACCEPTABLE,Y,Amazon CS,StandardRefund,IN-12675,27-Jan-23,1139,1, , , , , ,1139,gl_shoes
405-0192158-1295553,15-Jan-23,19-Jan-23,Approved,DdtWylpgRRMA, ,AmazonPrePaidLabel,103.5,INR,ATS,5.13563E+11,Seller,N,Y,B08LT1D3TY,PRIME-LWWC20216140,Leather World 6 Slot PU Leather Men Watch Box Display Case Organizer Glass Women Jewelry Storage Black,1,CR-DEFECTIVE,Y,C-Returns,StandardRefund, ,23-Jan-23,535,1, , , , , ,585,gl_watch
171-4397440-8097135,16-Jan-23,19-Jan-23,Approved,DMtHyYpKRRMA, ,AmazonPrePaidLabel,69,INR,ATS,5.13563E+11,Seller,N,Y,B084C52Z6M,PRIME-LWOB19201079,Leather World Vegan Leather Laptop Bag Premium 15.6 inch Laptop Briefcase Expandable Water-Resistant Shoulder Messenger Bag Computer Bag for Travel Business School Men and Women Brown,1,AMZ-PG-APP-TOO-LARGE,Y,C-Returns,StandardRefund,IN-13002, ,1139,1, , , , , ,1139,gl_shoes
406-0356845-1854758,16-Jan-23,19-Jan-23,Approved,DytTyXpLRRMA, ,AmazonPrePaidLabel,138,INR,ATS,5.13563E+11,Seller,N,Y,B0779969J9,PRIME-LWWC16176135,Leather World 8 Slots PU Leather Men Watch Box Acrylic Display Glass Organizer Case Women Storage Jewellery - Tan,1,CR-ORDERED_WRONG_ITEM,Y,C-Returns,StandardRefund,IN-12987,27-Jan-23,683,1, , , , , ,683,gl_watch
402-1532931-0873102,15-Jan-23,19-Jan-23,Approved,DbtwyRpsRRMA, ,AmazonPrePaidLabel,207,INR,ATS,5.13563E+11,Seller,N,Y,B08LT1D3TY,PRIME-LWWC20216140,Leather World 6 Slot PU Leather Men Watch Box Display Case Organizer Glass Women Jewelry Storage Black,1,CR-DEFECTIVE,Y,C-Returns,StandardRefund, ,24-Jan-23,559.35,1, , , , , ,585,gl_watch
404-1513482-1441149,13-Jan-23,19-Jan-23,Approved,D1t2y2pbRRMA, ,AmazonPrePaidLabel,138,INR,ATS,5.13563E+11,Seller,N,Y,B08NXL9F1P,PRIME-LWBP20213012,Fly Fashion Polyester Travel Cross Body Backpack Shoulder Chest Bag Lightweight Men and Women,1,AMZ-PG-APP-TOO-SMALL,Y,C-Returns,StandardRefund,IN-12807,27-Jan-23,584,1, , , , , ,584,gl_luggage
407-7751532-1153908,11-Jan-23,19-Jan-23,Approved,DSbgyYpYRRMA, ,AmazonPrePaidLabel,207,INR,ATS,5.13563E+11,Seller,N,Y,B08LT1D3TY,PRIME-LWWC20216140,Leather World 6 Slot PU Leather Men Watch Box Display Case Organizer Glass Women Jewelry Storage Black,1,CR-DEFECTIVE,Y,C-Returns,StandardRefund,IN-12640,30-Jan-23,585,1, , , , , ,585,gl_watch
407-2228322-9446720,15-Jan-23,19-Jan-23,Approved,D3b0ylpRRRMA, ,AmazonPrePaidLabel,172.5,INR,ATS,5.13563E+11,Seller,N,Y,B08LT1D3TY,PRIME-LWWC20216140,Leather World 6 Slot PU Leather Men Watch Box Display Case Organizer Glass Women Jewelry Storage Black,1,CR-DEFECTIVE,Y,C-Returns,StandardRefund,IN-12921, ,585,1,VALID_DIFF_ITEM_RECEIVED,81549-68591-2605341,GRANT,30-Jan-23,348.88, ,gl_watch
171-4300630-8953101,09-Jan-23,19-Jan-23,Approved,DgZYynpHRRMA, ,AmazonPrePaidLabel,345,INR,ATS,5.13562E+11,Seller,N,Y,B08LT1D3TY,PRIME-LWWC20216140,Leather World 6 Slot PU Leather Men Watch Box Display Case Organizer Glass Women Jewelry Storage Black,2,CR-SWITCHEROO,Y,Amazon CS,StandardRefund,IN-12509,25-Jan-23,1170,2, , , , , ,1170,gl_watch
407-2855815-8505953,06-Jan-23,19-Jan-23,Approved,D3ZmympkRRMA, ,AmazonPrePaidLabel,172.5,INR,ATS,5.13562E+11,Seller,N,Y,B08LT1D3TY,PRIME-LWWC20216140,Leather World 6 Slot PU Leather Men Watch Box Display Case Organizer Glass Women Jewelry Storage Black,1,CR-DEFECTIVE,Y,C-Returns,StandardRefund, , ,535,1, , , , , , ,gl_watch
408-0130492-1040345,14-Jan-23,19-Jan-23,Approved,D3wFy1pjRRMA, ,AmazonPrePaidLabel,368,INR,ATS,5.13562E+11,Seller,N,Y,B08LH752FN,PRIME-LWWC20216115,Leather World 10 Slots PU Leather Men Watch Box Acrylic Display Organizer Case Women Storage Jewellery - Blue,1,CR-UNWANTED_ITEM,Y,C-Returns,StandardRefund,IN-12864,24-Jan-23,855,1, , , , , ,855,gl_watch
404-4942085-0250748,16-Jan-23,19-Jan-23,Approved,D0wNyZp0RRMA, ,AmazonPrePaidLabel,103.5,INR,ATS,5.13562E+11,Seller,N,Y,B07PFV29ZM,PRIME-LWWC16176104B,Leather World 8 Slots PU Leather Men Watch Box Acrylic Display Glass Organizer Case Women Storage Jewelry - Blue,1,CR-NOT_COMPATIBLE,Y,C-Returns,StandardRefund,IN-13061,23-Jan-23,699,1, , , , , ,699,gl_home
171-6615589-8153114,14-Jan-23,19-Jan-23,Approved, , ,AmazonPrePaidLabel,0, ,ATS,3.21938E+11,Not Computed,N,Y,B072FDG4ZY,PRIME-LWWC16176077,Leather World Vegan Leather 4 Slot Watch Case Box for Men and Women (Beige),1,UND-UNKNOWN,Y,Rejected,StandardRefund,IN-12850,23-Jan-23, , , , , , , , ,gl_watch
171-3057378-8355553,09-Jan-23,19-Jan-23,Approved,DdwFyppxRRMA, ,AmazonPrePaidLabel,138,INR,ATS,5.13562E+11,Seller,N,Y,B07KYQD52P,PRIME-LWWC16176105C,Leather World 8 Slots PU Leather Men Acrylic Display Glass Watch Organizer Box for Women (Black),1,CR-QUALITY_UNACCEPTABLE,Y,C-Returns,StandardRefund,IN-12559,25-Jan-23,699,1, , , , , ,699,gl_home
402-7884806-0722766,12-Jan-23,19-Jan-23,Approved, , ,AmazonPrePaidLabel,0, ,ATS,3.21909E+11,Not Computed,N,Y,B0837TDP66,PRIME-LWHK2020102,Leather World Water-Resistant Polyester Convertible Duffel Bag & Rucksack for Men and Women Trekking Bag with Laptop Compartment Black,1,UND-UNKNOWN,Y,Rejected,StandardRefund,IN-12744,23-Jan-23, , , , , , , , ,gl_luggage
171-0331274-4319546,16-Jan-23,20-Jan-23,Approved, , ,AmazonPrePaidLabel,0, ,ATS,3.21954E+11,Not Computed,N,Y,B08LT1D3TY,PRIME-LWWC20216140,Leather World 6 Slot PU Leather Men Watch Box Display Case Organizer Glass Women Jewelry Storage Black,1,UND-UNKNOWN,Y,Rejected,StandardRefund,IN-12989,25-Jan-23, , , , , , , , ,gl_watch
403-5073149-1610762,18-Jan-23,20-Jan-23,Approved,Dz1Vy7p6RRMA, ,AmazonPrePaidLabel,172.5,INR,ATS,5.13564E+11,Seller,N,Y,B08LT1D3TY,PRIME-LWWC20216140,Leather World 6 Slot PU Leather Men Watch Box Display Case Organizer Glass Women Jewelry Storage Black,1,CR-DEFECTIVE,Y,C-Returns,StandardRefund,IN-13168,25-Jan-23,585,1, , , , , ,585,gl_watch
406-6668221-6454733,16-Jan-23,20-Jan-23,Approved, , ,AmazonPrePaidLabel,0, ,ATS,3.21976E+11,Not Computed,N,Y,B08LT1D3TY,PRIME-LWWC20216140,Leather World 6 Slot PU Leather Men Watch Box Display Case Organizer Glass Women Jewelry Storage Black,1,UND-UNKNOWN,Y,Rejected,StandardRefund,IN-13025,24-Jan-23, , , , , , , , ,gl_watch
407-9050032-9128322,17-Jan-23,20-Jan-23,Approved,DRDryMpnRRMA, ,AmazonPrePaidLabel,0, ,ATS,5.13564E+11,Seller,N,Y,B08LT1D3TY,PRIME-LWWC20216140,Leather World 6 Slot PU Leather Men Watch Box Display Case Organizer Glass Women Jewelry Storage Black,1,CR-SWITCHEROO,Y,C-Returns,Replacement, ,27-Jan-23,585,1, , , , , , ,gl_watch
171-6624178-9250715,14-Jan-23,20-Jan-23,Approved,Dd8Wy8p0RRMA, ,AmazonPrePaidLabel,345,INR,ATS,5.13564E+11,Seller,N,Y,B0837TDP66,PRIME-LWHK2020102,Leather World Water-Resistant Polyester Convertible Duffel Bag & Rucksack for Men and Women Trekking Bag with Laptop Compartment Black,1,CR-MISSING_PARTS,Y,Amazon CS,StandardRefund,IN-12872,30-Jan-23,806,1, , , , , ,806,gl_luggage
171-6624178-9250715,14-Jan-23,20-Jan-23,Approved, , ,AmazonPrePaidLabel,0, , , ,Seller,N,Y,B0837TDP66,PRIME-LWHK2020102,Leather World Water-Resistant Polyester Convertible Duffel Bag & Rucksack for Men and Women Trekking Bag with Laptop Compartment Black,1,CR-DEFECTIVE,Y,C-Returns,Replacement, , ,806,1, , , , , , ,gl_luggage
408-3373290-0605113,13-Jan-23,20-Jan-23,Approved, , ,AmazonPrePaidLabel,0, ,ATS,3.21924E+11,Not Computed,N,Y,B084C2JB4Z,PRIME-LWOB19201078,Leather World Vegan Leather Laptop Bag Premium 15.6 inch Laptop Briefcase Expandable Water-Resistant Shoulder Messenger Bag Computer Bag for Travel Business School Men and Women Black,1,UND-UNKNOWN,Y,Undelivered,StandardRefund,IN-12795,25-Jan-23, , , , , , , , ,gl_shoes
407-0134469-7120327,13-Jan-23,20-Jan-23,Approved,DygFy2p4RRMA, ,AmazonPrePaidLabel,138,INR,ATS,5.13564E+11,Seller,N,Y,B07PFV29ZM,PRIME-LWWC16176104B,Leather World 8 Slots PU Leather Men Watch Box Acrylic Display Glass Organizer Case Women Storage Jewelry - Blue,1,CR-NOT_COMPATIBLE,Y,C-Returns,StandardRefund,IN-12805,25-Jan-23,699,1, , , , , ,699,gl_home
403-7478078-4104327,12-Jan-23,20-Jan-23,Approved,D1BwygphRRMA, ,AmazonPrePaidLabel,207,INR,ATS,5.13564E+11,Seller,N,Y,B08LT1D3TY,PRIME-LWWC20216140,Leather World 6 Slot PU Leather Men Watch Box Display Case Organizer Glass Women Jewelry Storage Black,1,AMZ-PG-WJ-TOO-LARGE,Y,C-Returns,StandardRefund,IN-12722,25-Jan-23,585,1, , , , , ,585,gl_watch
408-6808738-2493943,17-Jan-23,20-Jan-23,Approved,D1BnyhpWRRMA, ,AmazonPrePaidLabel,322,INR,ATS,5.13563E+11,Seller,N,Y,B07S67G7VX,PRIME-LW1920OB1119,Leather World Pu Leather 15.6 inch Laptop Bag for Men Office Bag Briefcase Messenger Bag Grey Bag,1,CR-SWITCHEROO,Y,C-Returns,StandardRefund,IN-13149,27-Jan-23,1099,1, , , , , ,1099,gl_luggage
