amazon-order-id,merchant-order-id,purchase-date,last-updated-date,order-status,fulfillment-channel,sales-channel,order-channel,url,ship-service-level,product-name,sku,asin,item-status,quantity,currency,item-price,item-tax,shipping-price,shipping-tax,gift-wrap-price,gift-wrap-tax,item-promotion-discount,ship-promotion-discount,ship-city,ship-state,ship-postal-code,ship-country,promotion-ids,is-business-order,purchase-order-number,price-designation,fulfilled-by,is-iba 
407-8805202-0679547,,2023-06-19T09:49:39+00:00,2023-06-19T10:04:54+00:00,Pending,Merchant,Amazon.in,WebsiteOrderChannel,,Standard,Leather World 6 Slots Watch Box Storage Jewelry Organizer Case for Men Women Vegan Leather Blue,LWWC20216094,B0779BZV2M,Unshipped,1,INR,599,64.18,,,,,,,AMRITSAR,PUNJAB,143001,IN,,FALSE,,,Easy Ship,FALSE
405-3578123-7987520,,2023-06-19T08:59:19+00:00,2023-06-19T09:14:30+00:00,Pending,Merchant,Amazon.in,WebsiteOrderChannel,,Standard,Fly Fashion Watch Box Holder Organizer Case in 4 Slots of Watches for Men and Women(BROWN),4 brown plain,B0C6MPXVQZ,Unshipped,1,INR,399,42.75,,,,,,,SECUNDERABAD,TELANGANA,500009,IN,,FALSE,,,Easy Ship,FALSE
171-2765593-2519506,,2023-06-19T08:12:48+00:00,2023-06-19T17:22:26+00:00,Cancelled,Merchant,Amazon.in,WebsiteOrderChannel,,Standard,Leather World 6 Slots Watch Box Storage Jewelry Organizer Case for Men Women Vegan Leather Blue,LWWC20216094,B0779BZV2M,,0,INR,534.82,64.18,,,,,,,Faridabad,HARYANA,121006,IN,,FALSE,,,Easy Ship,FALSE
404-2831734-9702718,,2023-06-19T07:51:26+00:00,2023-06-20T04:50:23+00:00,Pending - Waiting for Pick Up,Merchant,Amazon.in,WebsiteOrderChannel,,NextDay,Leather World PU Leather 4 Slot Watch Box Organizer Case Storage Box Watches Men Women (Beige- Plain),LGWC20216097,B08M3ZR6ZC,Unshipped,1,INR,399,60.86,,,,,,,NAVI MUMBAI,MAHARASHTRA,400708,IN,,FALSE,,,Easy Ship,FALSE
406-5038381-3893165,,2023-06-19T07:43:21+00:00,2023-06-20T04:50:24+00:00,Pending - Waiting for Pick Up,Merchant,Amazon.in,WebsiteOrderChannel,,NextDay,Leather World 6 Slots Watch Box Storage Jewelry Organizer Case for Men Women Vegan Leather Blue,LWWC20216094,B0779BZV2M,Unshipped,1,INR,599,64.18,,,,,,,PUNE,MAHARASHTRA,411046,IN,,FALSE,,,Easy Ship,FALSE
405-6551036-1827507,,2023-06-19T07:39:32+00:00,2023-06-19T07:54:58+00:00,Pending,Merchant,Amazon.in,WebsiteOrderChannel,,Standard,Leather World PU Leather 4 Slot Watch Box Organizer Case Storage Box Watches Men Women (Beige- Window),LGWC20216077,B08M3RGWYD,Unshipped,1,INR,449,48.11,,,,,,,BHIMAVARAM,ANDHRA PRADESH,534202,IN,,FALSE,,,Easy Ship,FALSE
403-7295979-2738757,,2023-06-19T07:29:29+00:00,2023-06-19T07:44:44+00:00,Pending,Merchant,Amazon.in,WebsiteOrderChannel,,Standard,Leather World 6 Slots Watch Box Storage Jewelry Organizer Case for Men Women Vegan Leather Blue,LWWC20216094,B0779BZV2M,Unshipped,1,INR,599,64.18,,,,,,,SHILLONG,MEGHALAYA,793001,IN,,FALSE,,,Easy Ship,FALSE
403-5782580-4917910,,2023-06-19T07:13:37+00:00,2023-06-19T07:28:22+00:00,Pending,Merchant,Amazon.in,WebsiteOrderChannel,,Standard,Fly Fashion Watch Box Holder Organizer Case in 6 Slots of Watches for Men and Women with Transparent Display Blue,UA-862R-7HFS,B0C53SHJHD,Unshipped,1,INR,599,64.18,,,,,,,MODINAGAR,UTTAR PRADESH,201204,IN,,FALSE,,,Easy Ship,FALSE
405-9809701-6853164,,2023-06-19T07:07:57+00:00,2023-06-19T07:22:08+00:00,Pending,Merchant,Amazon.in,WebsiteOrderChannel,,Standard,Leather World 6 Slots Watch Box Storage Jewelry Organizer Case for Men Women Vegan Leather Blue,LWWC20216094,B0779BZV2M,Unshipped,1,INR,599,64.18,,,,,,,Vijayawada,ANDHRA PRADESH,521137,IN,,FALSE,,,Easy Ship,FALSE
407-3033172-0366737,,2023-06-19T06:27:00+00:00,2023-06-19T06:42:06+00:00,Pending,Merchant,Amazon.in,WebsiteOrderChannel,,Standard,Fly Fashion Watch Box Holder Organizer Case in 6 Slots of Watches for Men and Women with Transparent Display Blue,UA-862R-7HFS,B0C53SHJHD,Unshipped,1,INR,599,64.18,,,,,,,GHAZIABAD,UTTAR PRADESH,201003,IN,,FALSE,,,Easy Ship,FALSE
402-4617797-6693168,,2023-06-19T05:55:57+00:00,2023-06-19T06:11:06+00:00,Pending,Merchant,Amazon.in,WebsiteOrderChannel,,Standard,Fly Fashion Watch Box Holder Organizer Case in 4 Slots of Watches for Men and Women with Transparent Display(BLACK),4 window black,B0C6MP8ZNS,Unshipped,2,INR,898,136.98,,,,,,,KOLKATA 700027,WEST BENGAL,700027,IN,,FALSE,,,Easy Ship,FALSE
