amazon-order-id,merchant-order-id,purchase-date,last-updated-date,order-status,fulfillment-channel,sales-channel,order-channel,url,ship-service-level,product-name,sku,asin,item-status,quantity,currency,item-price,item-tax,shipping-price,shipping-tax,gift-wrap-price,gift-wrap-tax,item-promotion-discount,ship-promotion-discount,ship-city,ship-state,ship-postal-code,ship-country,promotion-ids,is-business-order,purchase-order-number,price-designation,fulfilled-by,is-iba 
402-5828733-7097102,,2023-06-17T16:04:29+00:00,2023-06-19T09:26:00+00:00,Shipped - Picked Up,Merchant,Amazon.in,WebsiteOrderChannel,,Standard,Leather World 6 Slots Watch Box Storage Jewelry Organizer Case for Men Women Vegan Leather Blue,LWWC20216094,B0779BZV2M,Shipped,1,INR,599,64.18,,,,,,,KANCHEEPURAM,TAMIL NADU,631502,IN,,FALSE,,,Easy Ship,FALSE
408-7232670-7148363,,2023-06-17T16:00:26+00:00,2023-06-19T09:25:58+00:00,Shipped - Picked Up,Merchant,Amazon.in,WebsiteOrderChannel,,NextDay,Leather World 6 Slots Watch Box Storage Jewelry Organizer Case for Men Women Vegan Leather Blue,LWWC20216094,B0779BZV2M,Shipped,2,INR,1198,128.36,,,,,,,HYDERABAD,TELANGANA,500090,IN,,FALSE,,,Easy Ship,FALSE
171-5268151-3848361,,2023-06-17T15:57:06+00:00,2023-06-19T09:26:06+00:00,Shipped - Picked Up,Merchant,Amazon.in,WebsiteOrderChannel,,Standard,Leather World 6 Slots Watch Box Storage Jewelry Organizer Case for Men Women Vegan Leather Blue,LWWC20216094,B0779BZV2M,Shipped,1,INR,599,64.18,,,,,,,NEW DELHI,DELHI,110068,IN,,FALSE,,,Easy Ship,FALSE
404-0719531-9681119,,2023-06-17T15:48:25+00:00,2023-06-19T09:25:56+00:00,Shipped - Picked Up,Merchant,Amazon.in,WebsiteOrderChannel,,Standard,Leather World PU Leather Travel Duffle Sports Gym Bag for Men Women Luggage (Brown),LEATHERGIFTSDB16174098,B09RGZM64S,Shipped,1,INR,449,48.11,,,,,,,aluva,KERALA,683112,IN,,FALSE,,,Easy Ship,FALSE
403-1245761-6587552,,2023-06-17T14:47:50+00:00,2023-06-19T09:25:57+00:00,Shipped - Picked Up,Merchant,Amazon.in,WebsiteOrderChannel,,Standard,Leather World 6 Slots Watch Box Storage Jewelry Organizer Case for Men Women Vegan Leather Blue,LWWC20216094,B0779BZV2M,Shipped,1,INR,599,64.18,,,,,,,NEW DELHI,DELHI,110088,IN,,FALSE,,,Easy Ship,FALSE
407-6257264-1957154,,2023-06-17T14:45:37+00:00,2023-06-17T14:58:34+00:00,Cancelled,Merchant,Amazon.in,WebsiteOrderChannel,,Standard,Leather World 6 Slots Watch Box Storage Jewelry Organizer Case for Men Women Vegan Leather Blue,LWWC20216094,B0779BZV2M,,0,,,,,,,,,,HYDERABAD,TELANGANA,500027,IN,,FALSE,,,Easy Ship,FALSE
407-0253424-6678704,,2023-06-17T14:41:04+00:00,2023-06-19T09:37:23+00:00,Shipped - Picked Up,Merchant,Amazon.in,WebsiteOrderChannel,,Standard,Leather World 6 Slots Watch Box Storage Jewelry Organizer Case for Men Women Vegan Leather Blue,LWWC20216094,B0779BZV2M,Shipped,1,INR,599,64.18,,,,,,,AHMEDABAD,GUJARAT,382480,IN,,FALSE,,,Easy Ship,FALSE
403-3901764-2436315,,2023-06-17T14:40:06+00:00,2023-06-19T09:36:15+00:00,Shipped - Picked Up,Merchant,Amazon.in,WebsiteOrderChannel,,Standard,Fly Fashion Watch Box Holder Organizer Case in 6 Slots of Watches for Men and Women with Transparent Display Blue,UA-862R-7HFS,B0C53SHJHD,Shipped,1,INR,599,64.18,,,,,,,FIROZPUR,PUNJAB,152001,IN,,FALSE,,,Easy Ship,FALSE
402-2836730-3985924,,2023-06-17T14:37:56+00:00,2023-06-19T09:25:55+00:00,Shipped - Picked Up,Merchant,Amazon.in,WebsiteOrderChannel,,Standard,Leather World 6 Slots Watch Box Storage Jewelry Organizer Case for Men Women Vegan Leather Blue,LWWC20216094,B0779BZV2M,Shipped,1,INR,599,64.18,,,,,,,TUMKUR,KARNATAKA,572107,IN,,FALSE,,,Easy Ship,FALSE
402-9737328-8217153,,2023-06-17T13:56:15+00:00,2023-06-19T09:26:01+00:00,Shipped - Picked Up,Merchant,Amazon.in,WebsiteOrderChannel,,NextDay,Leather World 6 Slots Watch Box Storage Jewelry Organizer Case for Men Women Vegan Leather Blue,LWWC20216094,B0779BZV2M,Shipped,1,INR,599,64.18,,,,,,,PUNE,MAHARASHTRA,411045,IN,,FALSE,,,Easy Ship,FALSE
406-0232220-2869150,,2023-06-17T13:07:59+00:00,2023-06-20T06:52:13+00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,WebsiteOrderChannel,,NextDay,Leather World 6 Slots Watch Box Storage Jewelry Organizer Case for Men Women Vegan Leather Blue,LWWC20216094,B0779BZV2M,Shipped,1,INR,599,64.18,,,,,,,MUMBAI,MAHARASHTRA,400067,IN,,FALSE,,,Easy Ship,FALSE
404-0241311-0176338,,2023-06-17T12:49:13+00:00,2023-06-19T09:26:05+00:00,Shipped - Picked Up,Merchant,Amazon.in,WebsiteOrderChannel,,Standard,Leather World 6 Slots Watch Box Storage Jewelry Organizer Case for Men Women Vegan Leather Blue,LWWC20216094,B0779BZV2M,Shipped,1,INR,599,64.18,,,,,,,MYSURU,KARNATAKA,570019,IN,,FALSE,,,Easy Ship,FALSE
