order_id,order_date,sku,quantity,platformID,platform
403-5753538-3641148,2023-05-31,LGWC20216104,1,B08M8T49D1,A_LG
403-1572237-1313129,2023-06-01,LGWC20216140,1,B08M3SCS77,A_LG
402-5676270-5919511,2023-06-01,4 PLAIN TAN,1,B0C6MPYKL1,A_LG
406-3259309-7121141,2023-06-01,LGWC20216140,1,B08M3SCS77,A_LG
406-3204323-0295548,2023-06-01,LGWC20216077,1,B08M3RGWYD,A_LG
402-9789456-0733957,2023-06-01,LGBP20213083,1,B08MCDRDCC,A_LG
405-9828682-1904351,2023-06-01,LGWC20216140,2,B08M3SCS77,A_LG
407-9253241-5393907,2023-06-01,LGSB19203023,1,B0BYSWK693,A_LG
404-8429535-5068326,2023-06-01,FLYOB202110,1,B09BFG5XBF,A_LG
403-4721472-9165159,2023-06-01,FLYWC16176115,1,B0C1NV3R7J,A_LG
171-8578301-6321929,2023-06-01,LGOB19201072,1,B0BYDK8QPW,A_LG
407-3983541-2149152,2023-06-01,LGWC20216077,1,B08M3RGWYD,A_LG
408-3747060-4799503,2023-06-01,LGBP20213084,1,B08MCDKWJD,A_LG
407-1820590-5628316,2023-06-01,LGWC20216140,1,B08M3SCS77,A_LG
404-5466281-2708318,2023-06-01,LG6077,2,B07QKC3VWF,A_LG
408-1411892-4421950,2023-06-01,LWWC20216094,1,B0779BZV2M,A_LG
406-3527924-8569159,2023-06-01,LGDB16174099,1,B098BCJY1T,A_LG
171-0811752-1453161,2023-06-01,LGDB16174098,1,B098B9T4QP,A_LG
403-7009127-2292369,2023-06-01,LGWC20216140,1,B08M3SCS77,A_LG
403-1017460-3043526,2023-06-02,4 plain black,1,B0C6MQZVSB,A_LG
406-8358214-3095545,2023-06-02,LG6077,1,B07QKC3VWF,A_LG
407-4005421-7470768,2023-06-02,LGWC20216097,1,B08M3ZR6ZC,A_LG
407-7787410-0720337,2023-06-02,LGWC20216077,1,B08M3RGWYD,A_LG
407-9437501-0273921,2023-06-02,4 window black,1,B0C6MP8ZNS,A_LG
406-1196927-5104348,2023-06-02,FLYBP20213016,1,B08NTG4GFM,A_LG
407-5387408-9622726,2023-06-02,LGDB16174099,1,B098BCJY1T,A_LG
404-3538755-0605913,2023-06-02,4 brown plain,1,B0C6MPXVQZ,A_LG
